,punteggio-WA,prestazione,vento,disciplina,atleta,categoria,società
109,1082,10.37,0.9,100m,CECCARELLI Samuele,SM,G.S. FIAMME ORO PADOVA
110,1082,57.97,,400Hs_h76,OLIVIERI Linda,SF,G.S. FIAMME ORO PADOVA
111,1081,605.81,,3000st_h76,PATTIS Katja,SF,ASV L.C. BOZEN RAIFFEISEN
112,1081,57.98,,400Hs_h76,SERAMONDI Alessia,PF,G.A. FIAMME GIALLE
113,1081,124.64,,800m,PELLICORO Laura,SF,BRACCO ATLETICA
114,1081,20.91,1.2,200m,LONGOBARDI Eduardo,PM,G.A. FIAMME GIALLE
115,1080,23.55,-1.3,200m,KADDARI Dalia,SF,G.S. FIAMME ORO PADOVA
116,1079,11.57,0.8,100m,BERTELLO Gaya,PF,POLISPORT. NOVATLETICA CHIERI
117,1079,20.92,-1.9,200m,LONGOBARDI Eduardo,PM,G.A. FIAMME GIALLE
118,1078,53.26,,400m,ACCAME Ilaria elvira,SF,C.S. AERONAUTICA MILITARE
119,1078,53.25,,400m,POLINARI Anna,SF,C.S. CARABINIERI SEZ. ATLETICA
120,1077,11.58,1.5,100m,OBIJIAKU Ugochinyere amanda,PF,A.S. ATLETICA VIRTUS LUCCA
121,1076,53.3,,400m,ACCAME Ilaria elvira,SF,C.S. AERONAUTICA MILITARE
122,1076,108.28,,800m,TECUCEANU Catalin,SM,G.S. FIAMME ORO PADOVA
123,1076,58.16,,400Hs_h76,SARTORI Rebecca,SF,G.S. FIAMME ORO PADOVA
124,1076,13.55,0.5,100Hs_h84-8.50,MOSETTI Nicla,SF,SSD NISSOLINO SPORT SRL ASU
125,1076,10.39,0.5,100m,MAREK Eric,PM,C.S. ESERCITO
126,1076,108.28,,800m,LAZZARO Giovanni,PM,C.S. AERONAUTICA MILITARE
127,1075,20.95,-2.7,200m,CAPPELLETTI Filippo,PM,ATL. O.S.A. SARONNO LIB.
128,1075,20.95,-3.8,200m,DESALU Eseosa fostine,SM,G.A. FIAMME GIALLE
129,1075,124.96,,800m,BELLO' Elena,SF,G.S. FIAMME AZZURRE
130,1074,125.04,,800m,MENEGALE Giulia,SF,ATLETICA SILCA CONEGLIANO
131,1074,23.61,-0.3,200m,BELLINAZZI Giorgia,SF,C.S. ESERCITO
132,1073,609.01,,3000st_h76,MENTASTI Francesca,PF,PRO SESTO ATL. CERNUSCO
133,1073,13.58,-0.4,100Hs_h84-8.50,MOSETTI Nicla,SF,SSD NISSOLINO SPORT SRL ASU
134,1072,20.97,1.2,200m,DEZZA Filippo,PM,BERGAMO STARS ATLETICA
135,1072,108.4,,800m,PERNICI Francesco,PM,G.A. FIAMME GIALLE
136,1072,222.58,,1500m,ARESE Pietro,SM,G.A. FIAMME GIALLE
137,1072,13.56,1.7,triplo,CESTONARO Ottavia,SF,C.S. CARABINIERI SEZ. ATLETICA
138,1072,13.97,0.7,110Hs_h106-9.14,GIACALONE Nicolo',SM,ASD ATLETICA BIOTEKNA
139,1071,108.44,,800m,ELLIASMINE Abdelhakim,SM,ATHLETIC CLUB 96 ALPERIA
140,1071,53.44,,400m,BONORA Alessandra,SF,G.A. FIAMME GIALLE
141,1071,108.44,,800m,MANISCALCO Tommaso,SM,C.S. ESERCITO
142,1070,222.73,,1500m,BUSSOTTI NEVES JUNIOR Joao capistrano mari,SM,C.S. ESERCITO
143,1069,10.41,0.5,100m,RANDAZZO Filippo,SM,G.A. FIAMME GIALLE
144,1069,222.8,,1500m,EL KABBOURI Ossama,SM,ATLETICA FIRENZE MARATHON S.S.
145,1068,949.98,,5000m,APRILE Giulia,SF,C.S. ESERCITO
146,1067,125.46,,800m,TROIANI Serena,SF,CUS PRO PATRIA MILANO
147,1067,611.7,,3000st_h76,OBERLE Deborah,SF,CUS INSUBRIA VARESE COMO
148,1066,10.42,1.0,100m,CASSANO Luca antonio,SM,C.S. AERONAUTICA MILITARE
149,1066,125.52,,800m,ALMICI Alexandra,SF,ATL. BRESCIA 1950
150,1066,46.68,,400m,ACETI Vladimir,SM,G.A. FIAMME GIALLE
151,1066,108.61,,800m,BARONTINI Simone,SM,G.S. FIAMME AZZURRE
152,1065,23.7,-0.3,200m,RICCI Ginevra,SF,C.S. ESERCITO
153,1064,51.35,,400Hs_h91,BERRINO Riccardo,SM,C.S. AERONAUTICA MILITARE
154,1062,953.4,,5000m,CORDAZZO Giulia,SF,ASD LA FRATELLANZA 1874
155,1062,11.65,1.5,100m,TORCHIO Rachele,PF,ATL. MONDOVI'-ACQUA S.BERNARDO
156,1062,46.74,,400m,LOPEZ Brayan,SM,G.S. FIAMME AZZURRE
157,1061,51.41,,400Hs_h91,BENCOSME DE LEON Jose reynaldo,SM,G.S. AVIS BARLETTA A.S.D.
158,1061,953.74,,5000m,ACCORSI Marika,SF,C.U.S. PARMA
159,1060,954.38,,5000m,MORESSA Diletta,SF,G.S. ORECCHIELLA GARFAGNANA
160,1059,21.06,-1.9,200m,FEDERICI Andrea,SM,ASD ATLETICA BIOTEKNA
161,1059,58.74,,400Hs_h76,SERAMONDI Alessia,PF,G.A. FIAMME GIALLE
162,1059,23.76,-1.5,200m,FONTANA Vittoria,SF,C.S. CARABINIERI SEZ. ATLETICA
163,1059,46.78,,400m,LOPEZ Brayan,SM,G.S. FIAMME AZZURRE
164,1059,954.89,,5000m,ZANNE Giulia,SF,ATL. BRESCIA 1950
165,1058,108.88,,800m,ZUNINO Marco,PM,ATLETICA ARCOBALENO SAVONA
166,1058,13.69,-2.2,100Hs_h84-8.50,DI LAZZARO Elisa maria,SF,C.S. CARABINIERI SEZ. ATLETICA
167,1058,23.77,-3.6,200m,BELLINAZZI Giorgia,SF,C.S. ESERCITO
168,1058,51.47,,400Hs_h91,SIBILIO Alessandro,SM,G.A. FIAMME GIALLE
169,1056,21.08,1.2,200m,MESSINA Paolo,SM,G.A. FIAMME GIALLE
170,1056,11.68,0.4,100m,GASPARELLI Alessandra,PF,OLIMPUS SAN MARINO ATLETICA
171,1056,10.45,0.5,100m,BERNARDI Andrea,PM,ATL. RICCARDI MILANO 1946
172,1055,2.16,,alto,MELONI Eugenio,SM,C.S. CARABINIERI SEZ. ATLETICA
173,1055,2.16,,alto,LANDO Manuel,SM,C.S. AERONAUTICA MILITARE
174,1055,108.98,,800m,PERAZZO Amedeo,SM,ATL. RICCARDI MILANO 1946
175,1055,51.53,,400Hs_h91,SOMMACAL Alessio,SM,A.S. DIL. MILONE
176,1054,126.22,,800m,BELLA Sofia,SF,ATL.STUD. RIETI ANDREA MILARDI
177,1054,46.87,,400m,AKWANNOR Vanni picco,SM,ATL. CHIARI 1964 LIB.
178,1053,10.46,0.7,100m,DESALU Eseosa fostine,SM,G.A. FIAMME GIALLE
179,1053,23.82,-3.6,200m,HOOPER Gloria,SF,ATL. BRESCIA 1950
180,1053,10.46,0.7,100m,TARDIOLI Junior,PM,ATL.STUD. RIETI ANDREA MILARDI
181,1053,21.1,-2.7,200m,DENTATO Damiano,PM,ATL.STUD. RIETI ANDREA MILARDI
182,1052,259.71,,1500m,VANDI Eleonora,SF,ATL. AVIS MACERATA
183,1052,109.09,,800m,ZUNINO Marco,PM,ATLETICA ARCOBALENO SAVONA
184,1052,11.7,0.8,100m,TORCHIO Rachele,PF,ATL. MONDOVI'-ACQUA S.BERNARDO
185,1052,224.08,,1500m,VALDUGA Simone,PM,C.S. AERONAUTICA MILITARE
186,1052,11.7,0.8,100m,GASPARELLI Alessandra,PF,OLIMPUS SAN MARINO ATLETICA
187,1052,58.95,,400Hs_h76,GHERGO Angelica,SF,C.S. ESERCITO
188,1051,53.97,,400m,FAVALLI Sophia,SF,ATL. BRESCIA 1950
189,1051,5.21,,asta,DEMONTIS Andrea,PM,C.U.S. CAGLIARI
190,1051,51.62,,400Hs_h91,BRESSANELLO Dario,PM,ASD ACSI ATLETICA CAMPIDOGLIO
191,1050,14.09,-0.8,110Hs_h106-9.14,MULAS Oliver,PM,ATHLETIC CLUB 96 ALPERIA
192,1050,59.03,,400Hs_h76,BERINDE Malina lenuta,SF,SISPORT SSD
193,1050,51.64,,400Hs_h91,CAMILLI Francesco,SM,ATL. PIANURA BERGAMASCA
194,1050,46.93,,400m,BENATI Lorenzo,SM,G.S. FIAMME AZZURRE
195,1049,21.13,1.2,200m,FEDERICI Andrea,SM,ASD ATLETICA BIOTEKNA
196,1049,54.03,,400m,BORGA Rebecca,SF,G.A. FIAMME GIALLE
197,1049,109.19,,800m,MANISCALCO Tommaso,SM,C.S. ESERCITO
198,1049,23.86,-1.5,200m,RICCI Ginevra,SF,C.S. ESERCITO
199,1049,51.65,,400Hs_h91,PASQUALE Edoardo,PM,ATLETICA FIRENZE MARATHON S.S.
200,1047,109.25,,800m,PERAZZO Amedeo,SM,ATL. RICCARDI MILANO 1946
201,1047,69.9,,martello_7kg,PROSERPIO Giacomo,SM,C.S. CARABINIERI SEZ. ATLETICA
202,1047,10.48,1.1,100m,GIAMBELLINI Davide,SM,ATLETICA PEDEMONTANA VENETA
203,1047,13.78,-0.1,100Hs_h84-8.50,BALLIN Azzurra,PF,ASSINDUSTRIA SPORT
204,1047,59.14,,400Hs_h76,CAVO Ludovica,PF,A.S.D. ATL. SERRAVALLESE
205,1046,54.1,,400m,TESSAROLO Zoe,PF,ATL.VICENTINA
206,1046,14.11,-0.7,110Hs_h106-9.14,FOFANA Hassane,SM,G.S. FIAMME ORO PADOVA
207,1046,2768.24,,Marcia_10km,SCIANNAMEA Martina,PF,POLISPORTIVA TETHYS CHIETI
208,1046,11.73,0.8,100m,MELON Chiara,SF,G.S. FIAMME AZZURRE
209,1046,109.29,,800m,PERON Jacopo,SM,VARESE ATLETICA A.S.D.
210,1046,11.73,1.2,100m,BERTELLO Gaya,PF,POLISPORT. NOVATLETICA CHIERI
211,1045,527.83,,3000st_h91,VECCHI Enrico,SM,ATL. RODENGO SAIANO MICO
212,1045,15.87,0.2,triplo,MORSELETTO Federico,PM,ATL.STUD. RIETI ANDREA MILARDI
213,1045,59.19,,400Hs_h76,MARCOMIN Giorgia,SF,ATL. O.S.A. SARONNO LIB.
214,1044,18.7,,peso_7kg,TRABACCA Francesco,SM,ASD GIOVANI ATLETI BARI 1969
215,1044,47.01,,400m,SCOTTI Edoardo,SM,C.S. CARABINIERI SEZ. ATLETICA
216,1043,126.82,,800m,GAMBO Faith nyadzuwa,SF,N.ATL. FANFULLA LODIGIANA
217,1043,10.49,0.7,100m,CASSANO Luca antonio,SM,C.S. AERONAUTICA MILITARE
