COD,Società
"SP042","A.S. ATLETICA SARZANA"
"SP573","ASD ATLETICA SPEZIA DUFERCO"
"SR128","A.S. DIL. MILONE"
"SR130","A.S.DIL. ATLETICA SIRACUSA"
"SR248","SIRACUSATLETICA"
"SS220","A.S.D. ICHNOS SASSARI"
"SS228","SHARDANA ASD"
"SS284","A.S.D. ACADEMY OLBIA ATLETICA"
"SV019","ATLETICA VARAZZE"
"SV022","CENTRO ATLETICA CELLE LIGURE"
"SV026","A.S.D. ATLETICA ALBA DOCILIA"
"SV070","ATLETICA ARCOBALENO SAVONA"
"TA408","A.S PODISTICA TARAS"
"TE138","ASD ATLETICA GRAN SASSO TERAMO"
"TN101","ATLETICA TRENTO"
"TN102","ATL.  VALLI DI NON E SOLE"
"TN104","GS VALSUGANA TRENTINO"
"TN109","U.S. QUERCIA DAO CONAD"
"TN131","LAGARINA CRUS TEAM"
"TN135","ATLETICA ALTO GARDA E LEDRO"
"TN500","ATLETICA VALLE DI CEMBRA"
"TN524","G.S. TRILACUM"
"TN527","ATLETICA ROTALIANA"
"TO001","BATTAGLIO C.U.S. TORINO ATL"
"TO002","SISPORT SSD"
"TO015","ATLETICA CANAVESANA"
"TO016","ASDP ATLETICA PINEROLO"
"TO036","G.S. ATLETICA RIVOLI A.S.D."
"TO037","ATLETICA IVREA"
"TO047","A.S.D. BORGARETTO 75"
"TO076","POLISPORT. NOVATLETICA CHIERI"
"TO164","A.S.D. ATLETICA TEAM CARIGNANO"
"TO226","SAFATLETICA PIEMONTE ASD"
"TO247","SAFATLETICA SSD A RL"
"TR024","ASS.ATL.LIBERTAS ORVIETO"
"TR040","#ILOVERUN ATHLETIC TERNI"
"TS044","TRIESTE ATLETICA"
"TS099","POLISPORTIVA TRIVENETO TRIESTE"
"TS100","TRIESTE TRASPORTI ATL. GIOV."
"TS536","EVINRUDE"
"TV335","ATL.MONTEBELLUNA"
"TV339","ATLETICA PONZANO"
"TV340","ATLETICA VILLORBA"
"TV341","ATLETICA SILCA CONEGLIANO"
"TV342","ATLETICA STIORE TREVISO"
"TV349","ASD ATLETICA QUINTO"
"TV352","A.S.D. ATLETICA SAN BIAGIO"
"TV354","TREVISATLETICA"
"TV359","GRUPPO ATLETICA VEDELAGO ASD"
"TV360","NUOVA ATLETICA RONCADE"
"TV398","A.S.D. TEAM TREVISO"
"TV406","ATL-ETICA IMPRESA SOCIALE SSD"
"TV409","VITTORIO ATLETICA ASD APS"
"UD018","LIBERTAS FRIUL PALMANOVA"
"UD026","POL. LIB. MERETO DI TOMBA"
"UD030","ATLETICA MALIGNANI LIBERTAS UD"
"UD110","ATLETICA 2000"
"UD121","LUPIGNANUM TRACK&FIELD"
"UD503","GEMONATLETICA S.R.L. DIL."
"VA050","ATL. CAIRATESE"
"VA117","ATL. MALNATE"
"VA119","ATL. O.S.A. SARONNO LIB."
"VA121","PRO PATRIA A.R.C. BUSTO A."
"VA123","CUS INSUBRIA VARESE COMO"
"VA129","POL. OLONIA"
"VA130","N. ATL. VARESE"
"VA133","SESTO 76"
"VA394","ATL. ARCISATE"
"VA476","ATL. TRADATE"
"VA550","ATL. GAVIRATE"
"VA731","ATL. GALLARATESE"
"VA918","VARESE ATLETICA A.S.D."
"VC002","UNIONE GIOVANE BIELLA"
"VC019","ATL. STRONESE-NUOVA NORDAFFARI"
"VC020","G.S. ERMENEGILDO ZEGNA"
"VC073","ASD FUTURATLETICA PIEMONTE"
"VE464","ATLETICA AUDACE NOALE ASD"
"VE471","ASD ATLETICA MARCON"
"VE472","LA FENICE 1923 MESTRE"
"VE473","ATLETICA RIVIERA DEL BRENTA"
"VE474","GA ARISTIDE COIN VENEZIA 1949"
"VE528","ATLETICA SAN DONA' - ERACLEA"
"VE539","POL.GAZZERA OLIMPIA CHIRIGNAGO"
"VE542","ASD BUNKER SPORT"
"VI614","GRUPPO ATLETICO BASSANO 1948"
"VI616","ATL. MAROSTICA VIMAR"
"VI617","NOVATLETICA CITTA DI SCHIO ASD"
"VI619","ASI ATLETICA BREGANZE"
"VI621","POLISPORTIVA DUEVILLE"
"VI622","CSI ATL. PROVINCIA DI VICENZA"
"VI623","ASSOCIAZIONE ATLETICA N.E.VI."
"VI624","A.S.D. RISORGIVE APS"
"VI626","ATL.VICENTINA"
"VI632","GR.SP.DIL.SCOL MARCONI CASSOLA"
"VI644","POLISPORTIVA VALDAGNO"
"VI656","ASD ATLETICA OVEST VICENTINO"
"VI686","ATLETICA PEDEMONTANA VENETA"
"VR761","ATL. INSIEME VERONA"
"VR762","ATL. VR ASD PINDEMONTE"
"VR769","POL. LIBERTAS LUPATOTINA"
"VR775","ATLETICA BOVOLONE"
"VR777","U.S. INTREPIDA"
"VR781","A.S.D. ATLETICA VALPOLICELLA"
"VR784","FONDAZIONE M. BENTEGODI"
"VR825","C.U.S. VERONA SEZ. ATLETICA"
"VR846","ASD ATLETICA SBV"
"VT207","ASD ATLETICA VITERBO"
