prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
2937.0,,ZATINI Giacomo,1997,JM,GSD ATLETICA CHIETI,7 su- 1,Osimo,2016-04-24,https://www.fidal.it/atleta/ZATINI-Giacomo/gaqRkpOkaGo%3D,https://www.fidal.it/societa/GSD-ATLETICA-CHIETI/CH150
2929.0,,FOTARAS Gabriele,1997,JM,ATL. COLOSSEO 2000,2 su- 1,Latina,2016-04-23,https://www.fidal.it/atleta/FOTARAS-Gabriele/f6yRk5qga2c%3D,https://www.fidal.it/societa/ATL--COLOSSEO-2000/RM105
2775.0,,IACUZIO Riccardo,1998,JM,IDEATLETICA AURORA,7 fi- 1,Salerno,2016-04-24,https://www.fidal.it/atleta/IACUZIO-Riccardo/gK2RkpSmbWg%3D,https://www.fidal.it/societa/IDEATLETICA-AURORA/SA127
2644.0,,IRRERA Riccardo,1997,JM,A.S. DILETT. G.S.INDOMITA,1 su- 1,Messina,2016-04-17,https://www.fidal.it/atleta/IRRERA-Riccardo/h62RkpOfa2w%3D,https://www.fidal.it/societa/A-S--DILETT--G-S-INDOMITA/ME100
1144.0,,CERRI Samuele,1997,JM,C.U.S. TORINO,5 su- 1,Santhia,2016-04-24,https://www.fidal.it/atleta/CERRI-Samuele/dKAAARk5ulcGM%3D,https://www.fidal.it/societa/C-U-S--TORINO/TO001
7201.0,,CHIUSOLO Matteo,1998,JM,SPORTRACE,1 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/CHIUSOLO-Matteo/f6yRkpWnbGU%3D,https://www.fidal.it/societa/SPORTRACE/RM243
6929.0,,NAIDON Lorenzo,1999,JM,U.S. QUERCIA TRENTINGRANA,2 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/NAIDON-Lorenzo/d6iRk5imbGY%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
6778.0,,BRINI Michele,1998,JM,ATL. IMOLA SACMI AVIS,3 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/BRINI-Michele/eqiRlpKicGw%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
6712.0,,GEROLA Marco,1999,JM,N.ATL. FANFULLA LODIGIANA,4 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/GEROLA-Marco/dqAAARlpuncWY%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
6672.0,,LEONE Marco,1998,JM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Busto Arsizio,2017-04-23,https://www.fidal.it/atleta/LEONE-Marco/dquRkpWmaGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
6560.0,,NAIDON Lorenzo,1999,JM,U.S. QUERCIA TRENTINGRANA,3 se- 1,Erding,2017-06-25,https://www.fidal.it/atleta/NAIDON-Lorenzo/d6iRk5imbGY%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
6538.0,,NAIDON Lorenzo,1999,JM,U.S. QUERCIA TRENTINGRANA,1 su- 1,Bressanone,2017-04-23,https://www.fidal.it/atleta/NAIDON-Lorenzo/d6iRk5imbGY%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
6397.0,,GEROLA Marco,1999,JM,N.ATL. FANFULLA LODIGIANA,2 su- 1,Busto Arsizio,2017-04-23,https://www.fidal.it/atleta/GEROLA-Marco/dqAAARlpuncWY%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
6168.0,,NICOLA Riccardo,1998,JM,G.S. ERMENEGILDO ZEGNA,5 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
6056.0,,NICOLA Riccardo,1998,JM,G.S. ERMENEGILDO ZEGNA,1 su- 1,Asti,2017-07-02,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
6008.0,,BARBINI Luca,1999,JM,ATL. LECCO-COLOMBO COSTRUZ.,6 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/BARBINI-Luca/iKiSmZmiaWw%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
5969.0,,NICOLA Riccardo,1998,JM,G.S. ERMENEGILDO ZEGNA,1 su- 1,Santhia,2017-10-14,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
5966.0,,GIACOMETTI Leonardo,1998,JM,ASSOCIAZIONE ATLETICA N.E.VI.,7 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/GIACOMETTI-Leonardo/eKqRkpWfb2g%3D,https://www.fidal.it/societa/ASSOCIAZIONE-ATLETICA-N-E-VI-/VI623
5950.0,,MIGLIETTA Riccardo,1999,JM,ATL.VICENTINA,8 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/MIGLIETTA-Riccardo/eK6RkpSocGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
5934.0,,GASTALDIN Giulio,1998,JM,ATLETICA MONZA,9 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/GASTALDIN-Giulio/dq2RlZioamo%3D,https://www.fidal.it/societa/ATLETICA-MONZA/MI710
5916.0,,IRRERA Lorenzo,1998,JM,ATL.STUD. RIETI ANDREA MILARDI,10 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/IRRERA-Lorenzo/f6uRkpKiaGU%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223
5888.0,,BRINI Michele,1998,JM,ATL. IMOLA SACMI AVIS,1 su- 1,Santhia,2017-04-23,https://www.fidal.it/atleta/BRINI-Michele/eqiRlpKicGw%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
5852.0,,BRANDI Gabriele,1999,JM,TEAM-A LOMBARDIA,3 su- 1,Busto Arsizio,2017-04-23,https://www.fidal.it/atleta/BRANDI-Gabriele/dq2RlZqgcWU%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5823.0,,FAVRO Stefano,1998,JM,ATLETICA CANAVESANA,11 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/FAVRO-Stefano/dKAAARk5ufamk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
5755.0,,BARBINI Luca,1999,JM,ATL. LECCO-COLOMBO COSTRUZ.,4 su- 1,Busto Arsizio,2017-04-23,https://www.fidal.it/atleta/BARBINI-Luca/iKiSmZmiaWw%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
5740.0,,CALABRESE Salvatore,1999,JM,A.S.D. C.U.S. PALERMO,1 su- 1,Messina,2017-04-29,https://www.fidal.it/atleta/CALABRESE-Salvatore/h6yRkpKfcGY%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
5705.0,,CALABRESE Salvatore,1999,JM,A.S.D. C.U.S. PALERMO,12 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/CALABRESE-Salvatore/h6yRkpKfcGY%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
5704.0,,KASIBOVIC Amar,1999,JM,ATL.VICENTINA,13 su- 1,Lana,2017-05-28,https://www.fidal.it/atleta/KASIBOVIC-Amar/eK6RkpWfaGc%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
