prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
3906.0,,CALA Teuta,2000,CF,ATL. STUDENTESCA CA.RI.RI,10 su- 1,Bressanone,2015-05-24,https://www.fidal.it/atleta/CALA-Teuta/f6uRkpKmb2Y%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
5032.0,,MONTAGNA Sofia,1999,AF,ILPRA ATL.VIGEVANO PARCO ACQU.,1 su- 1,Roma,2015-06-28,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D,https://www.fidal.it/societa/ILPRA-ATL-VIGEVANO-PARCO-ACQU-/PV410
4976.0,,SPINELLO Gioi,1998,AF,G.S. FIAMME ORO PADOVA,2 su- 1,Roma,2015-06-28,https://www.fidal.it/atleta/SPINELLO-Gioi/eKqRkpOka2U%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
4966.0,,VANUCCI Maite,1998,AF,C.U.S. BOLOGNA A.S.D.,3 su- 1,Roma,2015-06-28,https://www.fidal.it/atleta/VANUCCI-Maite/eqiRlpOob2Q%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA-A-S-D-/BO008
4943.0,,LUNARDON Alice,1998,AF,G.S. FIAMME ORO PADOVA,4 su- 1,Roma,2015-06-28,https://www.fidal.it/atleta/LUNARDON-Alice/eKqRkpSmbGk%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
4919.0,,MONTAGNA Sofia,1999,AF,ILPRA ATL.VIGEVANO PARCO ACQU.,2 su- 1,Bressanone,2015-05-24,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D,https://www.fidal.it/societa/ILPRA-ATL-VIGEVANO-PARCO-ACQU-/PV410
4912.0,,BRANDSTETTER Angela,1999,AF,ATL.VICENTINA,5 su- 1,Roma,2015-06-28,https://www.fidal.it/atleta/BRANDSTETTER-Angela/eK6RkpWkcWY%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
4758.0,,MONTAGNA Sofia,1999,AF,ILPRA ATL.VIGEVANO PARCO ACQU.,33 se- 1,Cali,2015-07-18,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D,https://www.fidal.it/societa/ILPRA-ATL-VIGEVANO-PARCO-ACQU-/PV410
4696.0,,GATTO Teresa,1999,AF,ATLETICA STIORE TREVISO,4 su- 1,Bressanone,2015-05-24,https://www.fidal.it/atleta/GATTO-Teresa/eKyRkpelbGc%3D,https://www.fidal.it/societa/ATLETICA-STIORE-TREVISO/TV342
4688.0,,MONTAGNA Sofia,1999,AF,ILPRA ATL.VIGEVANO PARCO ACQU.,1 su- 1,Busto Arsizio,2015-04-26,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D,https://www.fidal.it/societa/ILPRA-ATL-VIGEVANO-PARCO-ACQU-/PV410
