tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
59.69,,BUCARELLI Matteo,1981,SM,PROSPORT ATL. FIRENZE,3 se- 2,Firenze,2008-07-06,https://www.fidal.it/atleta/BUCARELLI-Matteo/faiRk5enbGw%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
59.71,,PEZZOLI Pietro,1983,SM,C.U.S. PARMA,4 su- 1,Modena,2008-05-27,https://www.fidal.it/atleta/PEZZOLI-Pietro/eqiRlJOib2s%3D,https://www.fidal.it/societa/C-U-S--PARMA/PR068
59.74,,ZERBINI Andrea,1990,JM,CREMONA SPORTIVA ATL. ARVEDI,5 se- 2,Milano,2008-04-26,https://www.fidal.it/atleta/ZERBINI-Andrea/dqyRlpincGk%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
59.74,,LANZONI Matteo,1989,JM,ATL. IMOLA SACMI AVIS,4 se- 2,Imola,2008-05-18,https://www.fidal.it/atleta/LANZONI-Matteo/eqiRlZWmaGM%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
59.75,,DAVIDE Federico,1989,JM,A.S.D.  ATL. MARANO,3 su- 1,Scafati,2008-06-01,https://www.fidal.it/atleta/DAVIDE-Federico/gKiRlZqjaWs%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
59.76,,ZERBINI Andrea,1990,JM,CREMONA SPORTIVA ATL. ARVEDI,2 se- 4,Saronno,2008-05-18,https://www.fidal.it/atleta/ZERBINI-Andrea/dqyRlpincGk%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
59.76,,LUCCHESINI Omar,1991,AM,C.S.S. LEONARDO DA VINCI,3 se- 1,Trento,2008-07-06,https://www.fidal.it/atleta/LUCCHESINI-Omar/iaiRkpikb2g%3D,https://www.fidal.it/societa/C-S-S--LEONARDO-DA-VINCI/BZ071
59.76,,CECOTTI Marco,1972,SM35,ATLETICA GORIZIA CA. RI. FVG,6 se- 1,Alessandria,2008-09-28,https://www.fidal.it/atleta/CECOTTI-Marco/f6iRk5qmcGk%3D,https://www.fidal.it/societa/ATLETICA-GORIZIA-CA--RI--FVG/GO050
59.78,,CAMASCHELLA Gian luca,1971,SM35,TEAM ATLETICO-MERCURIO NOVARA,4 su- 1,Mariano Comense,2008-06-04,https://www.fidal.it/atleta/CAMASCHELLA-Gian-luca/dKiRkpKjcGU%3D,https://www.fidal.it/societa/TEAM-ATLETICO-MERCURIO-NOVARA/NO020
59.78,,PATANO Francesco,1992,AM,FIAMME GIALLE G. SIMONI,2 se- 2,Molfetta,2008-09-28,https://www.fidal.it/atleta/PATANO-Francesco/f6iRmJeoaGk%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
