prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
45.05,-0.9,45.05,e,LOTTI Daniele,1937,SM80,ATL.BORGO A BUGGIANO,3 se- 1,Arezzo,2018-06-03,https://www.fidal.it/atleta/LOTTI-Daniele/faiRkpimaGM%3D,https://www.fidal.it/societa/ATL-BORGO-A-BUGGIANO/PT121
17.17,+1.0,17.17,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 se- 1,Arezzo,2018-06-02,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
20.12,+2.0,20.12,e,BELLI Eliana,1956,SF60,ATLETICA ALMA JUVENTUS FANO,1 su- 1,Arezzo,2018-06-29,https://www.fidal.it/atleta/BELLI-Eliana/e6yRkpOhb2U%3D,https://www.fidal.it/societa/ATLETICA-ALMA-JUVENTUS-FANO/PU020
25.13,+1.1,25.13,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,6 se- 2,Malaga,2018-09-05,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
22.57,+0.7,22.57,e,MINOPOLI Ernesto,1933,SM85,AMATORI MASTERS NOVARA,1 su- 1,Campi Bisenzio,2019-07-05,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
23.74,-4.0,23.74,e,MINOPOLI Ernesto,1933,SM85,AMATORI MASTERS NOVARA,1 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
27.47,+0.7,27.47,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Campi Bisenzio,2019-07-05,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
30.27,+0.2,30.27,e,VERONESI Sergio,1937,SM80,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Abbadia San Salvatore,2019-05-26,https://www.fidal.it/atleta/VERONESI-Sergio/dqiRlpOncGs%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
14.96,-1.1,14.96,e,FORCELLINI Carla,1959,SF60,ATLETICA DEI GELSI,1 se- 3,Latina,2019-06-29,https://www.fidal.it/atleta/FORCELLINI-Carla/f6iRkpKncGM%3D,https://www.fidal.it/societa/ATLETICA-DEI-GELSI/RM237
15.21,+1.6,15.21,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,6 fi- 1,Jesolo-caorle-eraclea,2019-09-12,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
15.62,+0.7,15.62,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,1 su- 1,Boissano,2019-07-23,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
15.78,+1.9,15.78,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,3 ba- 1,Jesolo-caorle-eraclea,2019-09-09,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
16.29,+1.3,16.29,e,MARTONE Annunziata,1956,SF60,ASD ROMATLETICA FOOTWORKS,1 su- 1,Campi Bisenzio,2019-07-05,https://www.fidal.it/atleta/MARTONE-Annunziata/gauRkpKkbms%3D,https://www.fidal.it/societa/ASD-ROMATLETICA-FOOTWORKS/RM232
18.35,-0.9,18.1,m,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
18.4,+0.0,18.40,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,1 su- 1,Jesolo-caorle-eraclea,2019-09-05,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
23.45,+0.1,23.45,e,ZORZI Ingeborg,1948,SF70,SPORTCLUB MERANO,3 su- 1,Jesolo-caorle-eraclea,2019-09-12,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
21.35,-0.1,21.35,e,GASPARI Mario,1940,SM80,A.ATL.DOLOMITI BELLUNO,1 su- 1,Arezzo,2020-10-09,https://www.fidal.it/atleta/GASPARI-Mario/eKmRlJKkbGQ%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
43.75,+0.1,43.75,e,ISOTTI Roberto,1940,SM80,LYCEUM ROMA XIII A.P.D.,2 su- 1,Arezzo,2020-10-10,https://www.fidal.it/atleta/ISOTTI-Roberto/f6iRlJKmamw%3D,https://www.fidal.it/societa/LYCEUM-ROMA-XIII-A-P-D-/RM038
15.2,+0.3,15.20,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,1 su- 1,Arezzo,2020-10-09,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
15.6,+0.5,15.60,e,FASSI Daniela,1959,SF60,ATLETICA VARAZZE,2 su- 1,Bellinzona,2020-09-26,https://www.fidal.it/atleta/FASSI-Daniela/dayRkpKnb2M%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
21.39,+0.3,21.39,e,MARTONE Annunziata,1956,SF60,ASD ROMATLETICA FOOTWORKS,2 su- 1,Arezzo,2020-10-09,https://www.fidal.it/atleta/MARTONE-Annunziata/gauRkpKkbms%3D,https://www.fidal.it/societa/ASD-ROMATLETICA-FOOTWORKS/RM232
17.91,+1.3,17.91,e,SOFIA Alberto,1941,SM80,CUS BARI,1 su- 1,Rieti,2021-09-09,https://www.fidal.it/atleta/SOFIA-Alberto/hKiRkpijaWg%3D,https://www.fidal.it/societa/CUS-BARI/BA007
39.53,+0.0,39.53,e,ISOTTI Roberto alessandro,1940,SM80,LYCEUM ROMA XIII A.P.D.,1 su- 1,Catania,2021-10-09,https://www.fidal.it/atleta/ISOTTI-Roberto-alessandro/f6iRlJKmamw%3D,https://www.fidal.it/societa/LYCEUM-ROMA-XIII-A-P-D-/RM038
14.13,+1.6,14.13,e,NIEDERMAYR Erika,1961,SF60,A.S.D. SUEDTIROL TEAM CLUB,1 su- 1,Agordo,2021-07-24,https://www.fidal.it/atleta/NIEDERMAYR-Erika/iaiRkpKicGg%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
15.96,+0.0,15.96,e,IURI Francesca,1961,SF60,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Catania,2021-10-09,https://www.fidal.it/atleta/IURI-Francesca/dKuRk5mnbGQ%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
22.17,+0.0,22.17,e,MICIELI Carmela,1957,SF60,A.S. DIL. MILONE,2 su- 1,Catania,2021-10-09,https://www.fidal.it/atleta/MICIELI-Carmela/h7GRkpKfaWY%3D,https://www.fidal.it/societa/A-S--DIL--MILONE/SR128
