prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
14.33,+2.9,14.33,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,1 se- 1,Imola,2007-05-12,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.33,-0.8,14.33,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,2 se- 2,Ostrava,2007-07-12,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.33,+0.8,14.33,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,3 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.35,-0.9,14.35,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,1 ba- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.37,+2.4,14.37,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,1 se- 2,Roma,2007-06-09,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.38,-2.1,14.38,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,3 se- 4,Merignac,2007-06-25,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.39,+1.1,14.39,0,LUCCHI CASADEI Nicola,1990,AM,ATL. ENDAS  CESENA,2 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/LUCCHI-CASADEI-Nicola/eqiRlZSnb2U%3D,https://www.fidal.it/societa/ATL--ENDAS-CESENA/FC049
14.39,-3.4,14.39,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 fi- 1,Osimo,2007-06-23,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.4,-0.3,14.40,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,1 su- 1,Genova,2007-05-12,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.4,-0.5,14.40,0,LUCCHI CASADEI Nicola,1990,AM,ATL. ENDAS  CESENA,1 ba- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/LUCCHI-CASADEI-Nicola/eqiRlZSnb2U%3D,https://www.fidal.it/societa/ATL--ENDAS-CESENA/FC049
14.44,-0.9,14.44,0,MANTOVANI Giovanni,1990,AM,SPORT ATL. FERMO,1 se- 1,Macerata,2007-05-12,https://www.fidal.it/atleta/MANTOVANI-Giovanni/e6iRk5elcGQ%3D,https://www.fidal.it/societa/SPORT-ATL--FERMO/FM003
14.45,+0.0,14.45,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,1 se- 1,Aosta,2007-07-08,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.47,-0.9,14.47,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,2 ba- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.52,+1.5,14.52,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,2 se- 3,Alessandria,2007-05-01,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.52,-1.1,14.52,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,2 su- 1,Scandiano,2007-09-29,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.53,+0.2,14.53,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,2 ba- 2,Osimo,2007-06-23,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.53,-3.4,14.53,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,2 fi- 1,Osimo,2007-06-23,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.54,+0.8,14.54,0,ZANIN Alessandro,1990,AM,ATL. STUDENTESCA CA.RI.RI,4 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/ZANIN-Alessandro/f6iRl5Okb2M%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
14.56,-3.5,14.56,0,CALVI Michele,1990,AM,G.S.SELF ATL. MONTANARI GRUZZA,1 su- 1,Rieti,2007-06-03,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
14.57,+1.1,14.57,0,DEVARTI Samuele,1990,AM,A.S.D.  C.U.S. GENOVA,3 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/DEVARTI-Samuele/daiUlpWlaWU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--GENOVA/GE002
14.62,+1.1,14.62,0,DEL PRATO Giacomo,1991,AM,A.ATL. INTERFLUMINA,4 se- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/DEL-PRATO-Giacomo/dqyRlpmgb2U%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.65,+0.8,14.65,0,SERGI Luca michele,1991,AM,ASI ATL.MINNITI,1 su- 1,Reggio Calabria,2007-05-12,https://www.fidal.it/atleta/SERGI-Luca-michele/hqiRk5ifaGk%3D,https://www.fidal.it/societa/ASI-ATL-MINNITI/RC033
14.66,-0.4,14.66,0,DEL PRATO Giacomo,1991,AM,A.ATL. INTERFLUMINA,1 se- 1,Lecco,2007-05-12,https://www.fidal.it/atleta/DEL-PRATO-Giacomo/dqyRlpmgb2U%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.66,+0.3,14.66,0,PERINI Riccardo,1990,AM,ATL. CARPENEDOLO,1 se- 1,Cremona,2007-09-30,https://www.fidal.it/atleta/PERINI-Riccardo/dqqRkpKmaGg%3D,https://www.fidal.it/societa/ATL--CARPENEDOLO/BS278
