,punti TOT,lungo,lungo p,200m,200m p,100Hs_h84-8.50,100Hs_h84-8.50 p,asta,asta p,giavellotto_600g,giavellotto_600g p,atleta,link_atleta
70,2862.0,4.86,522.0,28.24,612.0,16.7,631.0,3.4,721.0,24.65,376.0,MASCHI Sophie,https://www.fidal.it/atleta/MASCHI-Sophie/dq2Rk5SgbWo%3D
71,2860.0,5.54,712.0,27.31,686.0,16.21,689.0,2.0,221.0,33.98,552.0,DOVIER Federica,https://www.fidal.it/atleta/DOVIER-Federica/eayRk5SjaWY%3D
72,2857.0,5.29,640.0,27.34,684.0,16.74,626.0,2.7,452.0,28.84,455.0,MASSIMELLO Chiara,https://www.fidal.it/atleta/MASSIMELLO-Chiara/dK6Rk5uibmo%3D
73,2853.0,5.44,683.0,28.76,572.0,19.05,386.0,3.8,887.0,21.92,325.0,SILVAN Ester,https://www.fidal.it/atleta/SILVAN-Ester/faiRm5ukcGY%3D
74,2852.0,4.8,506.0,27.69,655.0,18.21,467.0,3.4,721.0,31.38,503.0,ROSSI Eleonora,https://www.fidal.it/atleta/ROSSI-Eleonora/eqiRlJqjbmc%3D
75,2844.0,5.06,576.0,29.39,526.0,16.14,697.0,3.6,803.0,17.45,242.0,ERMACORA Clara,https://www.fidal.it/atleta/ERMACORA-Clara/eayRk5KhcGw%3D
76,2842.0,5.57,720.0,27.06,707.0,18.46,442.0,3.3,680.0,20.22,293.0,SELLEROLI Sarah,https://www.fidal.it/atleta/SELLEROLI-Sarah/f62RkpOlcGU%3D
77,2834.0,5.25,628.0,26.75,733.0,15.96,719.0,2.75,470.0,19.72,284.0,SOLAGNA Francesca,https://www.fidal.it/atleta/SOLAGNA-Francesca/eKmRlJSmaWw%3D
78,2832.0,5.1,587.0,28.73,574.0,16.33,674.0,2.8,488.0,31.69,509.0,AURICCHIO Serena,https://www.fidal.it/atleta/AURICCHIO-Serena/gKiRlZaoaGU%3D
79,2818.0,5.04,570.0,28.81,568.0,17.26,567.0,2.5,382.0,43.29,731.0,CORONA Cristina,https://www.fidal.it/atleta/CORONA-Cristina/eKmRlJOnbWM%3D
80,2816.0,5.3,643.0,26.76,732.0,15.87,730.0,1.9,191.0,32.31,520.0,SAUDA Alice,https://www.fidal.it/atleta/SAUDA-Alice/dKAAARk5qha2c%3D
81,2810.0,5.09,584.0,26.09,789.0,16.38,668.0,2.75,470.0,20.57,299.0,SAMMARITANI Chiara,https://www.fidal.it/atleta/SAMMARITANI-Chiara/jKiRkpSobWo%3D
82,2810.0,5.38,665.0,26.39,763.0,15.77,743.0,2.0,221.0,26.89,418.0,CARAMELLO Lisa maria,https://www.fidal.it/atleta/CARAMELLO-Lisa-maria/dq2RlpamamM%3D
83,2793.0,5.23,623.0,27.81,646.0,16.47,658.0,2.4,348.0,32.18,518.0,TORTORA Carolina,https://www.fidal.it/atleta/TORTORA-Carolina/gK2RkpWfb2o%3D
84,2789.0,5.07,578.0,28.89,562.0,16.24,685.0,3.3,680.0,19.73,284.0,RUFFILLI Elisabetta,https://www.fidal.it/atleta/RUFFILLI-Elisabetta/gaiRk5mfamY%3D
85,2778.0,5.01,562.0,26.15,784.0,16.26,683.0,2.4,348.0,26.02,401.0,LUCHETTI Greta,https://www.fidal.it/atleta/LUCHETTI-Greta/e6mRkpSfaWk%3D
86,2752.0,5.04,570.0,27.33,685.0,16.25,684.0,2.8,488.0,21.92,325.0,BOERCHI Giulia,https://www.fidal.it/atleta/BOERCHI-Giulia/drKRkpegaGk%3D
87,2738.0,5.71,762.0,26.62,744.0,16.31,677.0,1.8,163.0,25.54,392.0,LOMBARDINI Anna,https://www.fidal.it/atleta/LOMBARDINI-Anna/eKAAARk5Sha2k%3D
88,2736.0,5.15,601.0,27.46,674.0,15.89,728.0,2.0,221.0,31.86,512.0,DI PAOLA Sofia,https://www.fidal.it/atleta/DI-PAOLA-Sofia/dqqRlpqmaGU%3D
89,2724.0,5.21,617.0,26.0,797.0,15.49,778.0,1.8,163.0,24.27,369.0,TRAVERSO Tiziana,https://www.fidal.it/atleta/TRAVERSO-Tiziana/dKmRk5qlbGo%3D
90,2717.0,5.19,612.0,27.27,690.0,17.47,544.0,2.9,526.0,22.99,345.0,CASAZZA Valeria,https://www.fidal.it/atleta/CASAZZA-Valeria/dKAAARk5anaGg%3D
91,2713.0,5.05,573.0,28.78,571.0,17.3,563.0,3.3,680.0,22.0,326.0,CRISCUOLO Alice,https://www.fidal.it/atleta/CRISCUOLO-Alice/fayRkpOicGY%3D
92,2694.0,5.08,581.0,28.44,597.0,17.83,506.0,3.4,721.0,20.01,289.0,ANNOVAZZI Alessia,https://www.fidal.it/atleta/ANNOVAZZI-Alessia/jKiRlJSnaWk%3D
93,2685.0,5.09,584.0,29.14,544.0,17.72,518.0,3.45,741.0,20.5,298.0,COSULICH Benedetta,https://www.fidal.it/atleta/COSULICH-Benedetta/dqyRlpuibGw%3D
94,2671.0,5.31,645.0,27.51,670.0,17.18,576.0,2.1,251.0,32.74,529.0,QUAGLIO Arianna,https://www.fidal.it/atleta/QUAGLIO-Arianna/drKRkpimaGs%3D
95,2666.0,4.84,516.0,28.06,626.0,17.11,584.0,3.01,567.0,24.53,373.0,KONATE Madine,https://www.fidal.it/atleta/KONATE-Madine/faiSkpShb2o%3D
96,2657.0,5.31,645.0,27.96,634.0,16.05,708.0,2.1,251.0,26.93,419.0,BIANCHI Sara,https://www.fidal.it/atleta/BIANCHI-Sara/dqqRl5Wia2c%3D
97,2656.0,4.56,443.0,29.65,507.0,18.4,448.0,3.7,845.0,26.64,413.0,RANOCCHI Elena,https://www.fidal.it/atleta/RANOCCHI-Elena/eqiRlZakams%3D
98,2637.0,4.89,530.0,28.49,593.0,17.45,547.0,3.0,563.0,26.18,404.0,LERJEFORS Lisa,https://www.fidal.it/atleta/LERJEFORS-Lisa/iaiRkpiga2s%3D
99,2636.0,5.43,680.0,26.99,713.0,16.33,674.0,1.9,191.0,24.77,378.0,BUCALOSSI Marta,https://www.fidal.it/atleta/BUCALOSSI-Marta/faqRkpqncWk%3D
100,2620.0,4.76,495.0,29.61,510.0,17.29,564.0,3.5,761.0,20.04,290.0,POLETTI Giulia,https://www.fidal.it/atleta/POLETTI-Giulia/dq2Rk5ahcWQ%3D
101,2602.0,4.15,343.0,29.12,545.0,17.95,494.0,4.21,1067.0,12.6,153.0,RICCI Claudia,https://www.fidal.it/atleta/RICCI-Claudia/dq2Rl5qla2U%3D
102,2600.0,5.36,660.0,29.02,553.0,16.41,665.0,2.3,315.0,26.31,407.0,BARONE Sheila,https://www.fidal.it/atleta/BARONE-Sheila/dquRkpWibmY%3D
103,2599.0,4.39,401.0,29.95,486.0,17.84,505.0,2.6,417.0,46.35,790.0,SEIMONTE Veronica,https://www.fidal.it/atleta/SEIMONTE-Veronica/gaiRkpala2s%3D
104,2597.0,5.09,584.0,27.26,690.0,16.07,706.0,1.9,191.0,27.32,426.0,PALMA Zuleika,https://www.fidal.it/atleta/PALMA-Zuleika/drKRkpOnbGg%3D
105,2571.0,5.11,589.0,30.5,448.0,16.21,689.0,3.2,641.0,15.4,204.0,URSINI Sara,https://www.fidal.it/atleta/URSINI-Sara/f6qRkpSibGU%3D
106,2565.0,5.13,595.0,26.97,714.0,16.13,698.0,2.2,282.0,19.31,276.0,LUMACA Alessandra,https://www.fidal.it/atleta/LUMACA-Alessandra/faiSkpOkbGk%3D
107,2546.0,4.26,369.0,28.12,621.0,19.2,372.0,3.6,803.0,24.94,381.0,VISANI Viola,https://www.fidal.it/atleta/VISANI-Viola/faiSkpWgbGQ%3D
108,2543.0,4.81,508.0,25.93,803.0,14.05,971.0,1.5,86.0,13.81,175.0,BIANCHI Valentina,https://www.fidal.it/atleta/BIANCHI-Valentina/eqAAARkpSicWo%3D
109,2540.0,4.51,431.0,25.47,844.0,18.18,470.0,2.3,315.0,30.16,480.0,LUCCHINA Tecla,https://www.fidal.it/atleta/LUCCHINA-Tecla/drKRkpWlcWk%3D
110,2528.0,4.55,441.0,28.01,630.0,18.47,441.0,3.4,721.0,20.34,295.0,TERZI Debora,https://www.fidal.it/atleta/TERZI-Debora/dqqRlpmobGg%3D
111,2515.0,4.83,514.0,26.86,724.0,18.69,420.0,2.1,251.0,36.78,606.0,MEZZALIRA Ilaria,https://www.fidal.it/atleta/MEZZALIRA-Ilaria/drKRkpSjcGo%3D
112,2500.0,4.84,516.0,27.74,651.0,17.09,586.0,2.0,221.0,32.61,526.0,GIOVARA Cecilia,https://www.fidal.it/atleta/GIOVARA-Cecilia/dKuRk5iobWY%3D
113,2494.0,4.89,530.0,28.59,585.0,18.07,481.0,3.2,641.0,18.26,257.0,CRIVELLI Giulia,https://www.fidal.it/atleta/CRIVELLI-Giulia/f6yRkpulcWM%3D
114,2486.0,5.47,691.0,25.72,822.0,17.13,582.0,2.0,221.0,13.54,170.0,CARAVAGGI ESPOSITO Diana,https://www.fidal.it/atleta/CARAVAGGI-ESPOSITO-Diana/iaiRk5OjaWo%3D
115,2480.0,4.74,490.0,30.38,456.0,17.71,519.0,3.1,602.0,26.64,413.0,BORELLO Ilary,https://www.fidal.it/atleta/BORELLO-Ilary/dK6RlZagaWg%3D
116,2475.0,4.54,438.0,29.26,535.0,18.17,471.0,3.4,721.0,21.15,310.0,FERRARI Beatrice,https://www.fidal.it/atleta/FERRARI-Beatrice/dq2RlZOmaWY%3D
