,punti TOT,100m,100m p,800m,800m p,atleta,link_atleta
384,1611.0,26.46,757.0,137.74,854.0,PICCO Aurora,https://www.fidal.it/atleta/PICCO-Aurora/dK6RlZSiamM%3D
385,1611.0,13.74,645.0,129.9,966.0,VALENTE Aida,https://www.fidal.it/atleta/VALENTE-Aida/eKiRkpamcWY%3D
386,1611.0,14.25,943.0,151.97,668.0,MORBIN Matilde,https://www.fidal.it/atleta/MORBIN-Matilde/eK6Rk5WocGU%3D
387,1610.0,27.34,684.0,132.66,926.0,AVANZINI Matilde,https://www.fidal.it/atleta/AVANZINI-Matilde/eq6RkpKhamg%3D
388,1610.0,12.65,831.0,143.32,779.0,BOGGIANI Martina,https://www.fidal.it/atleta/BOGGIANI-Martina/dqAAARl5aobWg%3D
389,1610.0,15.75,745.0,136.98,865.0,MARSEGLIA Martina,https://www.fidal.it/atleta/MARSEGLIA-Martina/hK2RkpShbGQ%3D
390,1610.0,25.85,810.0,141.77,800.0,BONAFE' Sofia,https://www.fidal.it/atleta/BONAFE-Sofia/eqmRkpijbmY%3D
391,1610.0,15.02,839.0,143.92,771.0,OBERRAUCH Annika,https://www.fidal.it/atleta/OBERRAUCH-Annika/iaiRk5OmcGM%3D
392,1610.0,12.78,808.0,141.56,802.0,CITTERIO Lucrezia,https://www.fidal.it/atleta/CITTERIO-Lucrezia/dq2RlJijaWc%3D
393,1609.0,15.64,759.0,138.03,850.0,DANIELSEN Ann caroline,https://www.fidal.it/atleta/DANIELSEN-Ann-caroline/faiSkpiiamM%3D
394,1608.0,12.35,886.0,147.7,722.0,MELOTTO Maya,https://www.fidal.it/atleta/MELOTTO-Maya/dq2Rlpqlbmk%3D
395,1608.0,12.62,837.0,143.92000000000002,771.0,ELLI Alice maria,https://www.fidal.it/atleta/ELLI-Alice-maria/dq2Rl5OkcWk%3D
396,1606.0,13.5,684.0,132.93,922.0,GUERRAZZI Sharon,https://www.fidal.it/atleta/GUERRAZZI-Sharon/faiSkpKjbWc%3D
397,1606.0,12.97,775.0,139.48,831.0,FRANCHI Beatrice,https://www.fidal.it/atleta/FRANCHI-Beatrice/eqmRkpijaWw%3D
398,1606.0,26.58,747.0,137.43,859.0,PENNESI Anna maria,https://www.fidal.it/atleta/PENNESI-Anna-maria/e6uRkpOga2k%3D
399,1605.0,11.9,972.0,154.89,633.0,MARCEDDU Alessandra,https://www.fidal.it/atleta/MARCEDDU-Alessandra/iKiRlJOgaGk%3D
400,1604.0,27.01,711.0,134.98,893.0,FERRARI Marta,https://www.fidal.it/atleta/FERRARI-Marta/dqmRlpqjamg%3D
401,1604.0,13.03,764.0,138.8,840.0,ALICATA Clara,https://www.fidal.it/atleta/ALICATA-Clara/h6uRkpOmbWY%3D
402,1604.0,12.79,806.0,141.9,798.0,MOSCA Alessia,https://www.fidal.it/atleta/MOSCA-Alessia/f6yRk5egaGY%3D
403,1603.0,25.41,850.0,145.29,753.0,TISO Letizia,https://www.fidal.it/atleta/TISO-Letizia/dKAAARk5qlbmY%3D
