prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
15.1,,15.10,0,COMPAGNO Daniel,1990,AM,POL.LIB.MIRA,3 su- 1,Rossano Veneto,2007-09-09,https://www.fidal.it/atleta/COMPAGNO-Daniel/eK2RkpSgbWs%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.09,,15.09,0,CASELLI Pietro,1990,AM,A.S. LA FRATELLANZA 1874,1 su- 1,Busto Arsizio,2007-06-10,https://www.fidal.it/atleta/CASELLI-Pietro/eqiRlZujcWw%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
15.06,,15.06,0,MONTANARI Michele,1991,AM,U.S. MAURINA OLIO CARLI,1 se- 1,Camporosso,2007-04-18,https://www.fidal.it/atleta/MONTANARI-Michele/daiUlpKkamY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
15.04,,15.04,0,MONTANARI Michele,1991,AM,U.S. MAURINA OLIO CARLI,8 se- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/MONTANARI-Michele/daiUlpKkamY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
15.03,,15.03,0,PAROLO Tommaso,1991,AM,POL.LIB.MIRA,2 su- 1,Mira,2007-08-22,https://www.fidal.it/atleta/PAROLO-Tommaso/eK2RkpKhcWU%3D,https://www.fidal.it/societa/POL-LIB-MIRA/VE473
15.03,,15.03,0,MONTANARI Michele,1991,AM,U.S. MAURINA OLIO CARLI,2 su- 1,Genova,2007-09-30,https://www.fidal.it/atleta/MONTANARI-Michele/daiUlpKkamY%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
15.02,,15.02,0,MARTINO Antonio,1991,AM,NUOVA ATLETICA FIAMMA ARANCA,1 su- 1,Reggio Calabria,2007-05-04,https://www.fidal.it/atleta/MARTINO-Antonio/hqiRk5efaWw%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
15.01,,15.01,0,AMBROSETTI Alberto,1991,AM,S.G. GALLARATESE,1 su- 1,Saronno,2007-09-19,https://www.fidal.it/atleta/AMBROSETTI-Alberto/drKRkpOna2Q%3D,https://www.fidal.it/societa/S-G--GALLARATESE/VA126
15.0,,15.00,0,BIANCHETTI Daniele,1990,AM,ATL. BERGAMO 1959 CREBERG,1 su- 1,Chiari,2007-06-17,https://www.fidal.it/atleta/BIANCHETTI-Daniele/dqqRlpqicWY%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959-CREBERG/BG003
14.95,,14.95,0,SARNELLI Umberto,1990,AM,GINNASTICA COMENSE 1872,2 su- 1,Chiari,2007-06-17,https://www.fidal.it/atleta/SARNELLI-Umberto/dquRkpWhbms%3D,https://www.fidal.it/societa/GINNASTICA-COMENSE-1872/CO013
