gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
Marcia_10km,45.45,,45.45,GIORDANO Rossella,1972,SF40,G.S. FIAMME AZZURRE,3 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GIORDANO-Rossella/dKiRkpKoaWs%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002
Marcia_10km,47.56,,47.56,ZAPPAROLI Alessia,1988,SF,C.U.S. BOLOGNA A.S.D.,4 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/ZAPPAROLI-Alessia/eqiRlJulcGc%3D,https://www.fidal.it/societa/C-U-S--BOLOGNA-A-S-D-/BO008
Marcia_10km,50.1,,50.10,MARTINOZZI Elena,1987,SF,ATLETICA ESTENSE,5 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/MARTINOZZI-Elena/eqiRlJalb2w%3D,https://www.fidal.it/societa/ATLETICA-ESTENSE/FE378
Marcia_10km,50.29,,50.29,GALLI Ilaria camilla,1987,SF,ATLETICA FIRENZE MARATHON S.S.,6 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GALLI-Ilaria-camilla/fqiRk5KncGQ%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
Marcia_10km,50.41,,50.41,DE ROSA Carolina,1992,PF,GS VALSUGANA TRENTINO,7 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/DE-ROSA-Carolina/gKiRlZKfamc%3D,https://www.fidal.it/societa/GS-VALSUGANA-TRENTINO/TN104
Marcia_10km,51.52,,51.52,BECCHETTI Mariavittoria,1994,JF,ATL. STUDENTESCA CA.RI.RI,8 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/BECCHETTI-Mariavittoria/f6iRmZmka2M%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
Marcia_10km,52.23,,52.23,MARIOTTI Ilaria,1991,PF,CUS PISA ATLETICA CASCINA,9 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/MARIOTTI-Ilaria/faiRm5Smamg%3D,https://www.fidal.it/societa/CUS-PISA-ATLETICA-CASCINA/PI071
Marcia_10km,52.56,,52.56,ROSTELLATO Clelia,1979,SF,ASD ENTERPRISE SPORT & SERVICE,10 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/ROSTELLATO-Clelia/gKiRkpWlamM%3D,https://www.fidal.it/societa/ASD-ENTERPRISE-SPORT-&-SERVICE/AV208
Marcia_10km,53.06,,53.06,SCIPIONI Sara,1995,AF,ASD INTERFLUMINA E' PIU' POMI',11 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/SCIPIONI-Sara/dqiSl5elaGQ%3D,https://www.fidal.it/societa/ASD-INTERFLUMINA-E-PIU-POMI-/PR484
Marcia_10km,55.56,,55.56,GIUSTINI Costanza,1977,SF35,ATLETICA FIRENZE MARATHON S.S.,12 su- 1,Bressanone,2012-07-06,https://www.fidal.it/atleta/GIUSTINI-Costanza/faiRm5ala2o%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
