prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
71.41,,71.41,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,6 su- 1,Bangkok,2007-08-14,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
71.39,,71.39,0,SANGUIN Giovanni,1969,SM35,G.S. FIAMME ORO PADOVA,1 su- 1,Marcon,2007-05-20,https://www.fidal.it/atleta/SANGUIN-Giovanni/eKiRkpKhbWQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
71.33,,71.33,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 se- 2,Molfetta,2007-06-09,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
71.22,,71.22,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,2 se- 1,Gorizia,2007-09-09,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
71.03,,71.03,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Palermo,2007-09-30,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
70.95,,70.95,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Molfetta,2007-07-08,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.92,,70.92,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Udine,2007-04-25,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
70.52,,70.52,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 fi- 1,Nivelles,2007-06-30,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.52,,70.52,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Marano Di Napoli,2007-09-14,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.37,,70.37,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 se- 1,Bologna,2007-07-12,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.27,,70.27,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Bari,2007-03-04,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
70.21,,70.21,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Tezze Sul Brenta,2007-06-21,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
70.18,,70.18,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Foggia,2007-09-16,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.15,,70.15,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Matera,2007-09-08,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
70.09,,70.09,0,SANGUIN Giovanni,1969,SM35,G.S. FIAMME ORO PADOVA,1 su- 1,Mogliano Veneto,2007-07-11,https://www.fidal.it/atleta/SANGUIN-Giovanni/eKiRkpKhbWQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
69.98,,69.98,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Matera,2007-07-18,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
69.53,,69.53,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Modena,2007-01-28,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
69.53,,69.53,0,FELICE Marco,1979,SM,G.S. FIAMME ORO PADOVA,2 su- 1,Marcon,2007-05-20,https://www.fidal.it/atleta/FELICE-Marco/hKiRkpSnbWg%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
69.48,,69.48,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Mogliano Veneto,2007-07-11,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
69.19,,69.19,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,3 su- 1,Padova,2007-07-28,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
69.11,,69.11,0,POVEGLIANO Lorenzo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Udine,2007-02-11,https://www.fidal.it/atleta/POVEGLIANO-Lorenzo/eayRkpiicGo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
68.75,,68.75,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Savona,2007-05-23,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
68.57,,68.57,0,DELLI CARRI Pellegrino,1976,SM,C.S. AERONAUTICA MILITARE,99 su- 1,Donnas,2007-06-03,https://www.fidal.it/atleta/DELLI-CARRI-Pellegrino/hKiRkpWibWo%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
68.49,,68.49,0,SANGUIN Giovanni,1969,SM35,G.S. FIAMME ORO PADOVA,4 su- 1,Padova,2007-07-28,https://www.fidal.it/atleta/SANGUIN-Giovanni/eKiRkpKhbWQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
68.46,,68.46,0,MONDANARO Giovanni,1977,SM,C.S. AERONAUTICA MILITARE,1 fi- 1,Marano Di Napoli,2007-06-03,https://www.fidal.it/atleta/MONDANARO-Giovanni/gKiRkpOgamg%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
