Prestazione,Vento,Atleta,Anno,Categoria,Società,Posizione,Luogo,Data,Link Atleta,Link Società
33:22.6,,PALUMBO Andrea,2001,JM,ATL.AM. CISTERNINO ECOLSERVIZI,2 se- 1,Locorotondo,2019-04-25,https://www.fidal.it/atleta/PALUMBO-Andrea/hKqSmZOncWg%3D,https://www.fidal.it/societa/ATL-AM--CISTERNINO-ECOLSERVIZI/BR104
33:23.2,,RIZZI Giovanni,1993,SM,ATL. LEONE SAN MARCO PORDENONE,1 su- 1,Matera,2019-04-07,https://www.fidal.it/atleta/RIZZI-Giovanni/hK2RkpSfamQ%3D,https://www.fidal.it/societa/ATL--LEONE-SAN-MARCO-PORDENONE/PN534
33:24.46,,FORTUNATI Giovanni,1992,SM,G.S.IL FIORINO,3 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/FORTUNATI-Giovanni/faqRk5Shb2Q%3D,https://www.fidal.it/societa/G-S-IL-FIORINO/FI004
33:26.68,,MASON Andrea,2000,JM,SILCA ULTRALITE VITTORIO V.TO,9 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/MASON-Andrea/eKyRk5Ofams%3D,https://www.fidal.it/societa/SILCA-ULTRALITE-VITTORIO-V-TO/TV348
33:27.69,,LYAZALI Adil,1977,SM40,CIRCOLO MINERVA ASD,5 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/LYAZALI-Adil/h6mRkpKgaGw%3D,https://www.fidal.it/societa/CIRCOLO-MINERVA-ASD/PR436
33:30.27,,CASTELLI Girma,1999,PM,G.S. ORECCHIELLA GARFAGNANA,4 su- 2,Grosseto,2019-04-14,https://www.fidal.it/atleta/CASTELLI-Girma/fa2RkpOlb2w%3D,https://www.fidal.it/societa/G-S--ORECCHIELLA-GARFAGNANA/LU103
33:30.32,,SASSELLA Bernardo,1981,SM35,ATL. ALTA VALTELLINA,5 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/SASSELLA-Bernardo/drGRkpOmbGQ%3D,https://www.fidal.it/societa/ATL--ALTA-VALTELLINA/SO115
33:30.66,,TARAS Christian,1976,SM40,ATL. CASTELLO,5 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/TARAS-Christian/faiRkpSjbWg%3D,https://www.fidal.it/societa/ATL--CASTELLO/FI021
33:30.66,,PADDEU Nicola,1998,PM,CUS PISA,6 su- 2,Grosseto,2019-04-14,https://www.fidal.it/atleta/PADDEU-Nicola/iKiSmZWncGc%3D,https://www.fidal.it/societa/CUS-PISA/PI071
33:32.14,,UBERTI Leonardo,1997,PM,S.E.F. STAMURA ANCONA A.S.D.,13 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/UBERTI-Leonardo/dqqRl5qkamY%3D,https://www.fidal.it/societa/S-E-F--STAMURA-ANCONA-A-S-D-/AN010
33:32.6,,SASSELLA Bernardo,1981,SM35,ATL. ALTA VALTELLINA,2 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/SASSELLA-Bernardo/drGRkpOmbGQ%3D,https://www.fidal.it/societa/ATL--ALTA-VALTELLINA/SO115
33:32.99,,ITTO Francesco,2000,JM,S.E.F. STAMURA ANCONA A.S.D.,14 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/ITTO-Francesco/e6mRkpakbGM%3D,https://www.fidal.it/societa/S-E-F--STAMURA-ANCONA-A-S-D-/AN010
33:33.2,,NAPOLI Natale,1991,SM,ASDATL. ISAURA VALLE DELL'IRNO,6 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/NAPOLI-Natale/gKiRlJumb2M%3D,https://www.fidal.it/societa/ASDATL--ISAURA-VALLE-DELL-IRNO/SA146
33:33.32,,LOSIO Marco,1987,SM,ATL. RODENGO SAIANO MICO,9 se- 2,Rodengo-saiano,2019-04-27,https://www.fidal.it/atleta/LOSIO-Marco/dqiRlpSobWw%3D,https://www.fidal.it/societa/ATL--RODENGO-SAIANO-MICO/BS319
33:35.99,,VIGLIOTTA Lorenzo,1989,SM,ATL LEGG PORTO TORRES,4 se- 1,Sassari,2019-04-27,https://www.fidal.it/atleta/VIGLIOTTA-Lorenzo/iKyRkpWkcGU%3D,https://www.fidal.it/societa/ATL-LEGG-PORTO-TORRES/SS059
33:36.28,,CANNUCCI Matteo,1990,SM,G.S.IL FIORINO,7 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/CANNUCCI-Matteo/faiSkpmjcGc%3D,https://www.fidal.it/societa/G-S-IL-FIORINO/FI004
33:36.72,,CANNAS Paolo,1973,SM45,CAGLIARI MARATHON CLUB,5 se- 1,Sassari,2019-04-27,https://www.fidal.it/atleta/CANNAS-Paolo/iKiRk5mkaWQ%3D,https://www.fidal.it/societa/CAGLIARI-MARATHON-CLUB/CA211
33:37.1,,VIZZINI Alessandro,1990,SM,ASD KAPUHALA TEAM,3 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/VIZZINI-Alessandro/h7GRkpKnamc%3D,https://www.fidal.it/societa/ASD-KAPUHALA-TEAM/SR633
33:38.09,,ANTONELLI Luca,1998,PM,ATL. RECANATI,15 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/ANTONELLI-Luca/e6uRkpKmcGw%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
33:39.47,,BOCCOLI Luca,1988,SM,C.U.S. CAMERINO A.S.D.,16 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/BOCCOLI-Luca/e6mRkpSkcWU%3D,https://www.fidal.it/societa/C-U-S--CAMERINO-A-S-D-/MC001
33:39.9,,SCABBIO Diego,1973,SM45,ATL. NOVESE,7 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/SCABBIO-Diego/dKmRk5ioaWQ%3D,https://www.fidal.it/societa/ATL--NOVESE/AL007
33:41.7,,PICCHI Juri,1975,SM40,A.S. ATL. VINCI,2 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/PICCHI-Juri/faiSkpOhbWU%3D,https://www.fidal.it/societa/A-S--ATL--VINCI/FI177
33:42.5,,ZEKA Ramazan,2000,JM,SIRACUSATLETICA,4 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/ZEKA-Ramazan/h7GRkpSkaGo%3D,https://www.fidal.it/societa/SIRACUSATLETICA/SR248
33:42.9,,SIMONE Felice,1997,PM,LIONS VALLE UFITA,1 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/SIMONE-Felice/gKmRkpKgaGs%3D,https://www.fidal.it/societa/LIONS-VALLE-UFITA/AV801
33:43.53,,GOBBO Matteo,1975,SM40,ATL.BIOTEKNA MARCON,10 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/GOBBO-Matteo/eK2RkpSlaWo%3D,https://www.fidal.it/societa/ATL-BIOTEKNA-MARCON/VE471
33:43.6,,FALOMI Simone,1971,SM45,ASD PODISTICA LINO SPAGNOLI,1 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/FALOMI-Simone/fqiRkpKfamM%3D,https://www.fidal.it/societa/ASD-PODISTICA-LINO-SPAGNOLI/PG093
33:44.2,,GUASTAMACCHIA Rodolfo,1986,SM,ATLETICAMENTE,3 se- 1,Locorotondo,2019-04-25,https://www.fidal.it/atleta/GUASTAMACCHIA-Rodolfo/hKiSmJujaWs%3D,https://www.fidal.it/societa/ATLETICAMENTE/BA734
33:44.55,,BAU' Diego,1985,SM,ATLETICA SAN BIAGIO,11 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/BAU-Diego/eKiRlJikaGM%3D,https://www.fidal.it/societa/ATLETICA-SAN-BIAGIO/TV352
33:45.3,,LA BANCA Domenico,1984,SM35,G.S.IL FIORINO,3 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/LA-BANCA-Domenico/faqRkpOhcWg%3D,https://www.fidal.it/societa/G-S-IL-FIORINO/FI004
33:47.04,,FASANO Riccardo,2000,JM,ATL. RECANATI,17 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/FASANO-Riccardo/e6uRkpWhaGU%3D,https://www.fidal.it/societa/ATL--RECANATI/MC007
33:47.5,,MIMMA Matteo,1972,SM45,A.S.D. DAUNIA RUNNING,7 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/MIMMA-Matteo/hKuRkpSmaWk%3D,https://www.fidal.it/societa/A-S-D--DAUNIA-RUNNING/FG299
33:47.93,,DELL'OREFICE Lorenzo,1998,PM,ASD U.S. ATERNO PESCARA,18 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/DELL-OREFICE-Lorenzo/gaqRkpOncWo%3D,https://www.fidal.it/societa/ASD-U-S--ATERNO-PESCARA/PE001
33:49.0,,VETRANO Marco,1997,PM,RUNNING CLUB NAPOLI,2 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/VETRANO-Marco/gKmRkpKkcGU%3D,https://www.fidal.it/societa/RUNNING-CLUB-NAPOLI/NA965
33:49.7,,REBECCHI Elia,1988,SM,ATL. PIACENZA,8 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/REBECCHI-Elia/eq2RkpOnbmc%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
33:51.75,,MANCINI Marco,1997,PM,ASD G.P. LA SORGENTE,19 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/MANCINI-Marco/gaqRkpOmcGY%3D,https://www.fidal.it/societa/ASD-G-P--LA-SORGENTE/CH179
33:53.45,,ZANOTTI Kris,1983,SM35,ATLETICA BRESCIA MARATHON,6 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/ZANOTTI-Kris/dqqRl5mfb2Q%3D,https://www.fidal.it/societa/ATLETICA-BRESCIA-MARATHON/BS688
33:53.75,,GALA Fabio,1983,SM35,ATLETICA BRESCIA MARATHON,7 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/GALA-Fabio/dqqRmJKjaGk%3D,https://www.fidal.it/societa/ATLETICA-BRESCIA-MARATHON/BS688
33:53.9,,LO PICCOLO Filippo,1979,SM40,A.S.D. MONTI ROSSI NICOLOSI,5 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/LO-PICCOLO-Filippo/h6iRlJalbWs%3D,https://www.fidal.it/societa/A-S-D--MONTI-ROSSI-NICOLOSI/CT071
33:54.4,,VALLONE Fabrizio,1990,SM,ASD POLISPORTIVA PEGASO ATHLET,1 su- 1,Catania,2019-03-31,https://www.fidal.it/atleta/VALLONE-Fabrizio/h66RkpKgcWg%3D,https://www.fidal.it/societa/ASD-POLISPORTIVA-PEGASO-ATHLET/PA766
33:56.34,,BRIGNONE Valerio,1967,SM50,CAMBIASO RISSO RUNNING TEAM GE,3 se- 2,Genova,2019-12-21,https://www.fidal.it/atleta/BRIGNONE-Valerio/daiRk5Sgbmg%3D,https://www.fidal.it/societa/CAMBIASO-RISSO-RUNNING-TEAM-GE/GE111
33:57.2,,PRUITI CIARELLO Fabio,1986,SM,MAGMA TEAM ASD,6 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/PRUITI-CIARELLO-Fabio/h6uRkpOmamY%3D,https://www.fidal.it/societa/MAGMA-TEAM-ASD/CT783
33:59.52,,LA BANCA Domenico,1984,SM35,G.S.IL FIORINO,8 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/LA-BANCA-Domenico/faqRkpOhcWg%3D,https://www.fidal.it/societa/G-S-IL-FIORINO/FI004
33:59.6,,BRUNO Giacomo,2001,JM,ASDP ATLETICA PINEROLO,9 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/BRUNO-Giacomo/dK6RlpSgaWc%3D,https://www.fidal.it/societa/ASDP-ATLETICA-PINEROLO/TO016
34:00.8,,MIMMA Matteo,1972,SM45,A.S.D. DAUNIA RUNNING,2 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/MIMMA-Matteo/hKuRkpSmaWk%3D,https://www.fidal.it/societa/A-S-D--DAUNIA-RUNNING/FG299
34:02.33,,FREZZA Andrea,1980,SM35,A.S.D. ATLETICA SAN ROCCO,12 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/FREZZA-Andrea/eKyRkpafb2s%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-SAN-ROCCO/VE522
34:04.2,,DI STEFANO Giuseppe,1976,SM40,ATLETICA EDILMARKET SANDRIN,3 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/DI-STEFANO-Giuseppe/eKyRkpmjamY%3D,https://www.fidal.it/societa/ATLETICA-EDILMARKET-SANDRIN/PN528
34:04.43,,TEZA Raffaele,2001,JM,ATL.LONGARONE,13 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/TEZA-Raffaele/eKmRlJWibmM%3D,https://www.fidal.it/societa/ATL-LONGARONE/BL001
34:05.06,,VIRGIS Giuliano,1979,SM40,C.U.S. PADOVA,14 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/VIRGIS-Giuliano/eKqRkpWmams%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
34:05.22,,REBECCHI Elia,1988,SM,ATL. PIACENZA,10 se- 2,Rodengo-saiano,2019-04-27,https://www.fidal.it/atleta/REBECCHI-Elia/eq2RkpOnbmc%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
34:06.5,,STAGNO Luca,1985,SM,ETNATLETICA SAN PIETRO CLARENZ,2 su- 1,Catania,2019-03-31,https://www.fidal.it/atleta/STAGNO-Luca/h6uRkpSja2o%3D,https://www.fidal.it/societa/ETNATLETICA-SAN-PIETRO-CLARENZ/CT776
34:07.7,,GARZIANO Pierluigi,2001,JM,A.S. DIL. ATL.MAZZARINO,2 su- 1,Mazzarino,2019-09-12,https://www.fidal.it/atleta/GARZIANO-Pierluigi/h6qRkpKjcGk%3D,https://www.fidal.it/societa/A-S--DIL--ATL-MAZZARINO/CL154
34:08.2,,SPETTOLI Luciano,2001,JM,ATL. ALESSANDRIA,10 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/SPETTOLI-Luciano/dKmRk5mobmk%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
34:08.3,,SOPRANO Giuseppe,1988,SM,CAIVANO RUNNERS,8 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/SOPRANO-Giuseppe/gKiRlZSjcWU%3D,https://www.fidal.it/societa/CAIVANO-RUNNERS/NA992
34:08.3,,QUARTA Luca,1977,SM40,A.S.D. MONTEDORO NOCI,4 se- 1,Locorotondo,2019-04-25,https://www.fidal.it/atleta/QUARTA-Luca/d6iRkpqoaGY%3D,https://www.fidal.it/societa/A-S-D--MONTEDORO-NOCI/BA502
34:09.02,,NOBILI Federico,2001,JM,FIAMME GIALLE G. SIMONI,13 su- 2,Grosseto,2019-04-14,https://www.fidal.it/atleta/NOBILI-Federico/f6yRlJWkaGk%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
34:10.46,,BONOMINI Simone,1977,SM40,C.S. S.ROCCHINO,11 se- 2,Rodengo-saiano,2019-04-27,https://www.fidal.it/atleta/BONOMINI-Simone/dqiSl5aob2o%3D,https://www.fidal.it/societa/C-S--S-ROCCHINO/BS183
34:11.07,,ORTU Federico,2000,JM,ATL POD SAN GAVINO,6 se- 1,Sassari,2019-04-27,https://www.fidal.it/atleta/ORTU-Federico/iKiSmZqlbGc%3D,https://www.fidal.it/societa/ATL-POD-SAN-GAVINO/CA056
34:11.33,,FAVARO Lodovico,1991,SM,ATLETICA PONZANO,15 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/FAVARO-Lodovico/eKyRk5ahcWU%3D,https://www.fidal.it/societa/ATLETICA-PONZANO/TV339
34:11.6,,IAPICCO Pasquale,1968,SM50,CAIVANO RUNNERS,9 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/IAPICCO-Pasquale/gK2RkpKgbWY%3D,https://www.fidal.it/societa/CAIVANO-RUNNERS/NA992
34:11.7,,CANE Davide,1987,SM,G.S.D. SAI  FRECCE BIANCHE POD,11 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/CANE-Davide/dKmRk5uhb2Y%3D,https://www.fidal.it/societa/G-S-D--SAI-FRECCE-BIANCHE-POD/AL012
34:12.6,,REDOLFI Matteo,1984,SM35,ATLETICA AVIANO,4 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/REDOLFI-Matteo/eaqRkpanbWQ%3D,https://www.fidal.it/societa/ATLETICA-AVIANO/PN527
34:13.10,,ROVER Fabrizio,1970,SM45,G. P. LIVENZA SACILE,4 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/ROVER-Fabrizio/eaiRkpKgbms%3D,https://www.fidal.it/societa/G--P--LIVENZA-SACILE/PN500
34:16.47,,COSTANTINI Nicola,1994,SM,TORNADO,16 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/COSTANTINI-Nicola/eKmRlJKmaWQ%3D,https://www.fidal.it/societa/TORNADO/VE535
34:17.26,,PICCHI Juri,1975,SM40,A.S. ATL. VINCI,9 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/PICCHI-Juri/faiSkpOhbWU%3D,https://www.fidal.it/societa/A-S--ATL--VINCI/FI177
34:17.51,,PORFIRI Cristiano,1974,SM45,POD. MORETTI CORVA,20 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/PORFIRI-Cristiano/e6iRkpqjbGY%3D,https://www.fidal.it/societa/POD--MORETTI-CORVA/FM023
34:18.17,,LERDA Riccardo,1974,SM45,EXPANDIA ATL. INSIEME VERONA,17 se- 2,Treviso,2019-04-28,https://www.fidal.it/atleta/LERDA-Riccardo/drGRkpSmaGk%3D,https://www.fidal.it/societa/EXPANDIA-ATL--INSIEME-VERONA/VR761
34:18.6,,CARLINI Daniele,1987,SM,A.S. 'FOCE' SANREMO,12 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/CARLINI-Daniele/daqRkpOncWs%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
34:19.4,,ROVER Fabrizio,1970,SM45,G. P. LIVENZA SACILE,3 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/ROVER-Fabrizio/eaiRkpKgbms%3D,https://www.fidal.it/societa/G--P--LIVENZA-SACILE/PN500
34:20.35,,LIZZA Massimo,1972,SM45,ASD G.P. LA SORGENTE,21 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/LIZZA-Massimo/gauRkpKnaGM%3D,https://www.fidal.it/societa/ASD-G-P--LA-SORGENTE/CH179
34:21.3,,MARCELLO Matteo,1997,PM,CAMBIASO RISSO RUNNING TEAM GE,13 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/MARCELLO-Matteo/daiUlpWfbWo%3D,https://www.fidal.it/societa/CAMBIASO-RISSO-RUNNING-TEAM-GE/GE111
34:22.0,,FURIO Silvio,1994,SM,A.S.D. DAUNIA RUNNING,5 se- 1,Locorotondo,2019-04-25,https://www.fidal.it/atleta/FURIO-Silvio/hKuRkpOfaGU%3D,https://www.fidal.it/societa/A-S-D--DAUNIA-RUNNING/FG299
34:24.97,,GRELLONI Andrea,1992,SM,C.U.S. CAMERINO A.S.D.,1 se- 4,Tolentino,2019-04-13,https://www.fidal.it/atleta/GRELLONI-Andrea/e6uRkpKobGo%3D,https://www.fidal.it/societa/C-U-S--CAMERINO-A-S-D-/MC001
34:25.0,,FALCO Vincenzo,1980,SM35,CAIVANO RUNNERS,10 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/FALCO-Vincenzo/gKyRkpiocWY%3D,https://www.fidal.it/societa/CAIVANO-RUNNERS/NA992
34:26.8,,FONTANA Giuseppe,1998,PM,DAINI CARATE BRIANZA,14 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/FONTANA-Giuseppe/dq2RlZOocGo%3D,https://www.fidal.it/societa/DAINI-CARATE-BRIANZA/MI095
34:27.86,,BONIFACIO Antonino,1973,SM45,A.S. ATLETICA VALLECROSIA,4 se- 2,Genova,2019-12-21,https://www.fidal.it/atleta/BONIFACIO-Antonino/daqRkpKgamg%3D,https://www.fidal.it/societa/A-S--ATLETICA-VALLECROSIA/IM035
34:27.9,,GORRASI Michele,1994,SM,SANNIO RUNNERS,11 se- 3,Ariano Irpino,2019-04-13,https://www.fidal.it/atleta/GORRASI-Michele/gKqRkpOhaWw%3D,https://www.fidal.it/societa/SANNIO-RUNNERS/BN450
34:29.1,,GRANELLA Gabriele,1977,SM40,TIRRENO ATLETICA CIVITAVECCHIA,4 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/GRANELLA-Gabriele/f6yRk5OiaWw%3D,https://www.fidal.it/societa/TIRRENO-ATLETICA-CIVITAVECCHIA/RM068
34:29.2,,MICCOLI Daniele,1980,SM35,S.S.D. A.R.L. DYNAMYK FITNESS,2 su- 1,Matera,2019-04-07,https://www.fidal.it/atleta/MICCOLI-Daniele/hKiSmpmfaGk%3D,https://www.fidal.it/societa/S-S-D--A-R-L--DYNAMYK-FITNESS/BA723
34:29.77,,BRANCHESI Christian,1984,SM35,S.E.F. STAMURA ANCONA A.S.D.,22 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/BRANCHESI-Christian/e6mRkpama2w%3D,https://www.fidal.it/societa/S-E-F--STAMURA-ANCONA-A-S-D-/AN010
34:30.2,,STRANIERI Cosimo,1994,SM,ATLETICA SALUZZO,15 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/STRANIERI-Cosimo/hKqSmZOjb2U%3D,https://www.fidal.it/societa/ATLETICA-SALUZZO/CN016
34:32.35,,ARRIGHI Remo,1987,SM,ASD LA GALLA PONTEDERA ATL.,10 su- 3,Grosseto,2019-04-14,https://www.fidal.it/atleta/ARRIGHI-Remo/faiRk5uib2Q%3D,https://www.fidal.it/societa/ASD-LA-GALLA-PONTEDERA-ATL-/PI144
34:32.51,,MISURELLI Edoardo,1997,PM,COSENZA K42,1 su- 1,Castrovillari,2019-04-20,https://www.fidal.it/atleta/MISURELLI-Edoardo/hqmRkpKfaWo%3D,https://www.fidal.it/societa/COSENZA-K42/CS361
34:33.0,,CASTAGNINO Alessandro,1987,SM,A.S. 'FOCE' SANREMO,16 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/CASTAGNINO-Alessandro/daqRkpOlbWQ%3D,https://www.fidal.it/societa/A-S--FOCE-SANREMO/IM030
34:33.2,,GIANNONE Angelo mattia,2001,JM,A.S. DIL. ATL.MAZZARINO,7 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/GIANNONE-Angelo-mattia/h6qRkpKfb2s%3D,https://www.fidal.it/societa/A-S--DIL--ATL-MAZZARINO/CL154
34:34.4,,CHIOMINTO Fabrizio,1971,SM45,ASD ROMATLETICA FOOTWORKS,4 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/CHIOMINTO-Fabrizio/f6iRmJajbWo%3D,https://www.fidal.it/societa/ASD-ROMATLETICA-FOOTWORKS/RM232
34:35.6,,LO VAGLIO Egidio,1987,SM,ATLETICA CORREREPOLLINO,6 se- 1,Locorotondo,2019-04-25,https://www.fidal.it/atleta/LO-VAGLIO-Egidio/haqRkpOjaWg%3D,https://www.fidal.it/societa/ATLETICA-CORREREPOLLINO/PZ113
34:36.26,,TORRESANI Franco,1962,SM55,ATL. PARATICO,2 su- 1,Jesolo-caorle-eraclea,2019-09-08,https://www.fidal.it/atleta/TORRESANI-Franco/d6iRkpKhcGY%3D,https://www.fidal.it/societa/ATL--PARATICO/BS562
34:37.6,,MUSSO Jacopo,1993,SM,S.S. VITTORIO ALFIERI ASTI,17 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/MUSSO-Jacopo/dKuRk5ajbGk%3D,https://www.fidal.it/societa/S-S--VITTORIO-ALFIERI-ASTI/AT001
34:37.8,,FANELLI Gianluca,1979,SM40,A.S.D. AT RUNNING,5 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/FANELLI-Gianluca/f6iRmJOiaWg%3D,https://www.fidal.it/societa/A-S-D--AT-RUNNING/VT050
34:38.5,,DE CARO Francesco,1982,SM35,A.S.D. PODISTICA MESSINA,8 se- 4,Misterbianco,2019-04-20,https://www.fidal.it/atleta/DE-CARO-Francesco/h6iRlpKicWQ%3D,https://www.fidal.it/societa/A-S-D--PODISTICA-MESSINA/ME591
34:38.91,,SALVUCCI Leonardo,2001,JM,ATL.AMAT.OSIMO,23 se- 3,Tolentino,2019-04-13,https://www.fidal.it/atleta/SALVUCCI-Leonardo/e6mRkpSgamc%3D,https://www.fidal.it/societa/ATL-AMAT-OSIMO/AN018
34:41.07,,D'ALBERTO Diego,1981,SM35,ASD MISTERCAMP CASTELFRENTANO,2 se- 4,Tolentino,2019-04-13,https://www.fidal.it/atleta/D-ALBERTO-Diego/gaiRk5iicGk%3D,https://www.fidal.it/societa/ASD-MISTERCAMP-CASTELFRENTANO/CH175
34:42.28,,GIUNGATO Alberto,1997,PM,COSENZA K42,2 su- 1,Castrovillari,2019-04-20,https://www.fidal.it/atleta/GIUNGATO-Alberto/hqmRkpKobmU%3D,https://www.fidal.it/societa/COSENZA-K42/CS361
34:42.7,,SECCO Lorenzo,1988,SM,A.S.D. ATL. FOSSANO '75,18 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/SECCO-Lorenzo/dKyRlJSnaGc%3D,https://www.fidal.it/societa/A-S-D--ATL--FOSSANO-75/CN001
34:42.8,,BOASSO Alessio,1994,SM,A.S.D. ATLETICA TEAM CARIGNANO,19 se- 2,Alessandria,2019-04-06,https://www.fidal.it/atleta/BOASSO-Alessio/dK6RlpikbGo%3D,https://www.fidal.it/societa/A-S-D--ATLETICA-TEAM-CARIGNANO/TO164
34:44.6,,BONOMINI Simone,1977,SM40,C.S. S.ROCCHINO,6 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/BONOMINI-Simone/dqiSl5aob2o%3D,https://www.fidal.it/societa/C-S--S-ROCCHINO/BS183
34:45.10,,DEL BUONO Fabio,1983,SM35,ASD PODISTICA PERALTO GENOVA,5 se- 2,Genova,2019-12-21,https://www.fidal.it/atleta/DEL-BUONO-Fabio/damRkpihamw%3D,https://www.fidal.it/societa/ASD-PODISTICA-PERALTO-GENOVA/GE456
34:45.3,,PORFIRI Cristiano,1974,SM45,POD. MORETTI CORVA,5 su- 1,Abbadia San Salvatore,2019-05-25,https://www.fidal.it/atleta/PORFIRI-Cristiano/e6iRkpqjbGY%3D,https://www.fidal.it/societa/POD--MORETTI-CORVA/FM023
34:46.85,,VALENTINI Fabio,1984,SM35,ATLETICA FRECCE ZENA,6 se- 2,Genova,2019-12-21,https://www.fidal.it/atleta/VALENTINI-Fabio/damRkpioamw%3D,https://www.fidal.it/societa/ATLETICA-FRECCE-ZENA/GE135
34:47.82,,ABDELKADER Oualid,1982,SM35,CAGLIARI MARATHON CLUB,7 se- 1,Sassari,2019-04-27,https://www.fidal.it/atleta/ABDELKADER-Oualid/dK6RlJajcWs%3D,https://www.fidal.it/societa/CAGLIARI-MARATHON-CLUB/CA211
34:48.48,,CAVAGNINI Alberto,1984,SM35,C.S. S.ROCCHINO,12 se- 2,Rodengo-saiano,2019-04-27,https://www.fidal.it/atleta/CAVAGNINI-Alberto/dqqRl5qocGU%3D,https://www.fidal.it/societa/C-S--S-ROCCHINO/BS183
