prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
13.62,,GUERRIERO Aristide,1986,JM,LIB. POL. AMAT. ATL. BN,11 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/GUERRIERO-Aristide/f6iRl5Sja2Q%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
13.64,,MEOLA Flavio,1987,JM,ALTO LAZIO ATL.COLAVENE,10 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/MEOLA-Flavio/f6iRmJela2U%3D,https://www.fidal.it/societa/ALTO-LAZIO-ATL-COLAVENE/VT501
13.51,,STRAPPAZZON Nicola,1987,JM,G.A. BASSANO,12 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/STRAPPAZZON-Nicola/eKiRlZWjcGQ%3D,https://www.fidal.it/societa/G-A--BASSANO/VI614
12.99,,BARBAZZA Loris,1987,JM,LIBERTAS ATLETICA TREVISO,13 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/BARBAZZA-Loris/eKyRkpSmaGo%3D,https://www.fidal.it/societa/LIBERTAS-ATLETICA-TREVISO/TV333
12.68,,MONTANARI Guido,1987,JM,U.S. MAURINA OLIO CARLI,15 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/MONTANARI-Guido/daiRk5OgbWc%3D,https://www.fidal.it/societa/U-S--MAURINA-OLIO-CARLI/IM029
10.25,,PRONE Samuele,1987,JM,ATLETICA VERCELLI 78,1 su- 1,Somma Lombardo,2005-06-04,https://www.fidal.it/atleta/PRONE-Samuele/dK2Rk5mgbmc%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
16.19,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,2 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
14.37,,ZUCO Giuseppe,1986,JM,NUOVA ATLETICA FIAMMA ARANCA,6 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/ZUCO-Giuseppe/hqiRk5Wha2w%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
14.72,,VERONESI Davide,1986,JM,ATLETICA NEW STAR,5 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/VERONESI-Davide/eqiRlJWiaWQ%3D,https://www.fidal.it/societa/ATLETICA-NEW-STAR/BO430
13.73,,CAMMERRIERI Alessandro,1986,JM,A.S. DIL. LIBERTAS CATANIA,8 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/CAMMERRIERI-Alessandro/fqiRk5ihbGY%3D,https://www.fidal.it/societa/A-S--DIL--LIBERTAS-CATANIA/CT073
14.95,,DELCEV Boris,1987,JM,ATLETICA BECHER VITTORIO V.TO,4 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/DELCEV-Boris/eKiRlJencGo%3D,https://www.fidal.it/societa/ATLETICA-BECHER-VITTORIO-V-TO/TV361
15.56,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,3 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
14.36,,BARONIO Fabio,1986,JM,ATL. BERGAMO 1959,7 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/BARONIO-Fabio/dqmRlpincGo%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
18.14,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.52,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,1 se- 1,Citta Di Castello,2005-06-08,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
15.68,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Cagliari,2005-06-11,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
14.91,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Serramanna,2005-06-12,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
10.13,,MORIGINE Davide,1987,JM,C.U.S. CAGLIARI,2 fi- 1,Cagliari,2005-06-15,https://www.fidal.it/atleta/MORIGINE-Davide/iKiSmZKnbmk%3D,https://www.fidal.it/societa/C-U-S--CAGLIARI/CA001
14.91,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Cagliari,2005-06-15,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
17.55,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,1 se- 1,Perugia,2005-06-24,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
10.31,,LA VERSA Francesco,1986,JM,A.S. DIL. POL. V.S. AIRONI,1 su- 1,Palermo,2005-06-25,https://www.fidal.it/atleta/LA-VERSA-Francesco/h6iRlJWfaWY%3D,https://www.fidal.it/societa/A-S--DIL--POL--V-S--AIRONI/PA388
11.35,,TAVOLA Dario,1987,JM,ATLETICA MILANESE,1 su- 1,Cernusco Sul Naviglio,2005-06-29,https://www.fidal.it/atleta/TAVOLA-Dario/dq2Rk5egaWY%3D,https://www.fidal.it/societa/ATLETICA-MILANESE/MI456
10.82,,MORIGINE Davide,1987,JM,C.U.S. CAGLIARI,1 fi- 1,Cagliari,2005-06-29,https://www.fidal.it/atleta/MORIGINE-Davide/iKiSmZKnbmk%3D,https://www.fidal.it/societa/C-U-S--CAGLIARI/CA001
14.11,,SCREMIN Paolo,1986,JM,G.A. BASSANO,2 su- 1,Castelnovo Monti,2005-07-01,https://www.fidal.it/atleta/SCREMIN-Paolo/eKiRlJmla2k%3D,https://www.fidal.it/societa/G-A--BASSANO/VI614
11.27,,BEGNINI Massimiliano,1987,JM,ATL. BERGAMO 1959,7 su- 1,Castelnovo Monti,2005-07-01,https://www.fidal.it/atleta/BEGNINI-Massimiliano/dqmRlpmmbmw%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
13.56,,STRAPPAZZON Nicola,1987,JM,G.A. BASSANO,4 su- 1,Castelnovo Monti,2005-07-01,https://www.fidal.it/atleta/STRAPPAZZON-Nicola/eKiRlZWjcGQ%3D,https://www.fidal.it/societa/G-A--BASSANO/VI614
